objectid,equipamien,x,y,identifica,idclase,usuario,estado,codvia,numportal,idsubclase,telefono,globalid,created_user,created_date,last_edited_user,last_edited_date
21779,ESTANCO C. SAGUNTO,725778.17526178,4373749.84861678,008269,46,Test Admin,3,0,34,49,963471530,{06AFC546-2DF3-4EB7-90C3-6C4CE24A9BB8},ADM_GIS,20220908104230,appinfociudad,20220927113708
21780,ASOCIACIÓN SOCIO-CULTURAL DEL PUEBLO BUBI EN LA COMUNIDAD VALENCIANA,,,001427,61,Test Admin,3,81257,15,,919359840,{8C82F9D1-BBD5-409E-8250-2CF1ADD75888},appinfociudad,20220923070453,appinfociudad,20220923070524
21781,ESTANCO C. SAGUNTO,725777.09513389,4374494.56628914,008270,46,Test Admin,3,0,187,49,963650896,{50DBD530-9630-4B27-9D74-EA9963B654F0},ADM_GIS,20220908104230,appinfociudad,20220927113931
21782,MUSEO DE LA CIUDAD,725992.43,4373104.6,005849,10,Desarrollo Admin,3,7110,3,No tiene,962084126,{92D0A5C6-0DF4-43C3-8B07-7956CE952F7A},ADM_GIS,20220908104230,appinfociudad,20230102110248
21783,ESTANCO C. SANTA AMALIA,725918.29693002,4373433.33556289,008271,46,Test Admin,3,0,2,49,963623289,{D345B893-D311-4ECD-B3FF-B4835F0EED18},ADM_GIS,20220908104230,appinfociudad,20220927114134
21784,ESTANCO C. VISITACION,725581.4571688,4373671.37158377,008272,46,Test Admin,3,0,2,49,963267933,{04BDB6B8-0D2C-408F-8794-7962D44E9E4C},ADM_GIS,20220908104230,appinfociudad,20220927114553
21785,ESTANCO C. VISITACION,725599.2742649,4373837.23674598,008644,46,Test Admin,3,0,22,49,963369727,{8513493F-6759-4364-89E9-3B6A342B1409},ADM_GIS,20220908104230,appinfociudad,20220927115416
21786,BIBLIOTECA MUSICAL COMPOSITORES VALENCIANOS,723495.26501488,4371630.080821,001296,1,Test Admin,3,81319,1,,963525478,{D7E2A24F-60BD-4532-8274-524ED3B3CD58},ADM_GIS,20220908104230,appinfociudad,20220923080359
21787,QUIOSCO AV. AUTOPISTA DEL SALER,727313.10354279,4370914.66052159,008549,46,Test Admin,3,0,6,49,,{D5279871-BB30-44DD-879E-1B501F3FE678},ADM_GIS,20220908104230,appinfociudad,20220921102637
21788,QUIOSCO C. CARTAGENA,724144.88316922,4372225.08247813,008214,46,Test Admin,3,0,11,49,,{DFABF842-1B7D-41BA-9ED6-E4439E35F904},ADM_GIS,20220908104230,appinfociudad,20220921102809
